59,12.29
64,12.29
56,12.29
61,12.43
74,12.71
60,12.71
75,12.71
63,12.86
62,12.86
67,12.86
66,13
66,13
62,13.14
68,13.14
76,13.29
66,13.29
90,13.43
71,13.43
75,13.43
75,13.43
77,13.43
77,13.57
83,13.57
77,13.71
78,13.71
84,13.86
89,13.86
88,14
80,14
80,14
88,14.29
69,14.29
104,14.29
90,14.29
89,14.43
90,14.43
88,14.43
98,14.57
94,14.57
84,14.71
100,14.71
84,14.71
86,14.71
82,14.71
87,14.86
93,15
107,15
105,15
93,15.14
88,15.14
101,15.29
88,15.29
100,15.29
96,15.43
112,15.43
102,15.57
101,15.71
87,15.71
104,15.86
115,15.86
121,16
122,16.14
102,16.14
109,16.14
113,16.29
115,16.29
114,16.29
111,16.29
116,16.43
112,16.43
106,16.43
124,16.43
98,16.43
113,16.57
115,16.57
123,16.71
107,16.71
126,16.71
106,16.71
123,16.86
128,16.86
115,17
112,17
110,17
106,17
114,17
131,17.14
122,17.14
121,17.29
117,17.29
117,17.43
120,17.43
125,17.43
147,17.57
118,17.57
136,17.57
134,17.57
134,17.71
151,17.71
116,17.71
132,17.71
108,17.86
122,17.86
126,17.86
129,17.86
124,18
131,18
132,18
139,18.14
129,18.14
137,18.14
115,18.29
128,18.29
130,18.29
130,18.29
140,18.29
135,18.29
121,18.43
151,18.43
143,18.57
151,18.57
131,18.57
141,18.71
127,18.86
147,19
136,19
134,19
139,19.14
141,19.14
154,19.29
152,19.29
148,19.29
152,19.29
155,19.29
153,19.29
148,19.43
142,19.43
145,19.43
149,19.43
147,19.57
133,19.57
148,19.57
150,19.57
150,19.57
142,19.57
154,19.57
153,19.71
152,19.86
150,19.86
166,20
144,20
151,20
166,20
154,20
141,20.14
144,20.29
168,20.29
159,20.29
148,20.29
174,20.43
150,20.43
172,20.57
167,20.57
165,20.57
147,20.71
168,20.71
153,20.71
162,20.71
163,20.71
167,20.71
158,20.86
181,21
182,21
177,21
154,21.14
169,21.14
173,21.14
156,21.14
161,21.29
149,21.29
155,21.29
160,21.29
175,21.43
167,21.43
186,21.43
171,21.57
157,21.57
163,21.57
159,21.57
167,21.57
178,21.86
163,21.86
171,21.86
164,21.86
158,22
184,22
180,22
165,22.14
165,22.14
171,22.29
176,22.29
180,22.43
170,22.43
180,22.43
170,22.43
184,22.43
176,22.57
170,22.57
161,22.57
182,22.71
198,22.71
159,22.71
172,22.71
182,22.86
191,22.86
191,22.86
197,23
182,23
185,23
178,23
